2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": 0.006519, "median_missing": 0.013732, "n_available": 71, "n_missing": 22, "p_one_sided": 3.4185666519803704e-09, "z": 5.7949}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0137, n=22) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (0.0065, n=71) — z=5.7949, p=3.42e-09 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"max_term_std": 0.386875, "reward_std_feasible": 0.63004, "reward_std_total": 0.63004}, "check": "check_reward_dynamic_range", "detail": "reward_std_feasible=0.6300 < 4.0 * max_term_std=0.3869", "event_type": "INVARIANT_CHECK_FAILED", "expected": ">= 4.0 * max(term_std) UND >= 0.05 UND total/feasible <= 3.0", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.3094, "check": "check_annualization_commensurability", "detail": "Trial-Index 11: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.309 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/100 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.367966): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 3.0, "check": "check_annualization_commensurability", "detail": "Trial-Index 2: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 3 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/140 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.155300): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "AdxAtrMomentumStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.087+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.3669, "check": "check_annualization_commensurability", "detail": "Trial-Index 12: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.367 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "AdxAtrMomentumStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.087+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/123 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "AdxAtrMomentumStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["param_pen", "turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=0.854006): ['param_pen', 'turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": -0.007534, "median_missing": 0.015159, "n_available": 113, "n_missing": 7, "p_one_sided": 9.697926918850186e-06, "z": 4.2717}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0152, n=7) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (-0.0075, n=113) — z=4.2717, p=9.7e-06 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"max_term_std": 0.243533, "reward_std_feasible": 0.854006, "reward_std_total": 0.854006}, "check": "check_reward_dynamic_range", "detail": "reward_std_feasible=0.8540 < 4.0 * max_term_std=0.2435", "event_type": "INVARIANT_CHECK_FAILED", "expected": ">= 4.0 * max(term_std) UND >= 0.05 UND total/feasible <= 3.0", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.8803, "check": "check_annualization_commensurability", "detail": "Trial-Index 50: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.88 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/120 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/180 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "SqueezeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.310762): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.6083, "check": "check_annualization_commensurability", "detail": "Trial-Index 91: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.608 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/106 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.560428): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.1297, "check": "check_annualization_commensurability", "detail": "Trial-Index 4: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.13 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/106 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=0.781516): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "Rsi2ReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 3.37, "check": "check_annualization_commensurability", "detail": "Trial-Index 10: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 3.37 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "Rsi2ReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/141 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "Rsi2ReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=2.799905): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "SmaCrossoverStrategy/KRYS.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.2691, "check": "check_annualization_commensurability", "detail": "Trial-Index 28: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.269 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "SmaCrossoverStrategy/KRYS.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
2026-08-08T05:35:57.088+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/89 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "SmaCrossoverStrategy/KRYS.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T05:35:57.088+00:00"}
